run_name,architecture,encoder,augmentation,epochs,batch_size,lr,best_epoch,best_val_dice_threshold_05,best_val_loss,best_threshold,best_threshold_val_dice,notes
unet_r34_256_noaug_e10,unet,resnet34,false,10,8,0.0001,10,0.8439,0.2805,,,"threshold tuning not recorded"
unet_r50_256_noaug_e10,unet,resnet50,false,10,8,0.0001,10,0.8465,0.2739,,,"threshold tuning not recorded"
unet_effb0_256_noaug_e10,unet,efficientnet-b0,false,10,8,0.0001,10,0.8471,0.2749,,,"threshold tuning not recorded"
unet_effb3_256_noaug_e10,unet,efficientnet-b3,false,10,8,0.0001,9,0.8516,0.2689,,,"threshold tuning not recorded"
unet_mobilenetv2_256_noaug_e10,unet,mobilenet_v2,false,10,8,0.0001,9,0.842,0.289,,,"threshold tuning not recorded"
fpn_r34_256_noaug_e10,fpn,resnet34,false,10,8,0.0001,6,0.8383,0.2934,,,"threshold tuning not recorded"
fpn_r50_256_noaug_e10,fpn,resnet50,false,10,8,0.0001,9,0.8434,0.2879,,,"threshold tuning not recorded"
fpn_effb0_256_noaug_e10,fpn,efficientnet-b0,false,10,8,0.0001,8,0.8437,0.2889,,,"threshold tuning not recorded"
fpn_effb3_256_noaug_e10,fpn,efficientnet-b3,false,10,8,0.0001,7,0.8501,0.2717,,,"threshold tuning not recorded"
fpn_mobilenetv2_256_noaug_e10,fpn,mobilenet_v2,false,10,8,0.0001,9,0.841,0.2965,,,"threshold tuning not recorded"
deeplabv3p_r50_256_noaug_e10,deeplabv3plus,resnet50,false,10,8,0.0001,8,0.8412,0.2887,,,"threshold tuning not recorded"
deeplabv3p_effb0_256_noaug_e10,deeplabv3plus,efficientnet-b0,false,10,8,0.0001,10,0.8407,0.2836,,,"threshold tuning not recorded"
deeplabv3p_effb3_256_noaug_e10,deeplabv3plus,efficientnet-b3,false,10,8,0.0001,9,0.8501,0.2756,,,"threshold tuning not recorded"
deeplabv3p_mobilenetv2_256_noaug_e10,deeplabv3plus,mobilenet_v2,false,10,8,0.0001,9,0.8384,0.2962,,,"threshold tuning not recorded"
